acteur_id,alias
le-pen-marine,Marine Le Pen
philippe-edouard,Édouard Philippe
philippe-edouard,Edouard Philippe
attal-gabriel,Gabriel Attal
attal-gabriel,Attal
retailleau-bruno,Bruno Retailleau
retailleau-bruno,Retailleau
melenchon-jean-luc,Jean-Luc Mélenchon
melenchon-jean-luc,Mélenchon
melenchon-jean-luc,Melenchon
glucksmann-raphael,Raphaël Glucksmann
glucksmann-raphael,Glucksmann
bertrand-xavier,Xavier Bertrand
lisnard-david,David Lisnard
lisnard-david,Lisnard
roussel-fabien,Fabien Roussel
tondelier-marine,Marine Tondelier
tondelier-marine,Tondelier
faure-olivier,Olivier Faure
guedj-jerome,Jérôme Guedj
guedj-jerome,Guedj
bouamrane-karim,Karim Bouamrane
bouamrane-karim,Bouamrane
royal-segolene,Ségolène Royal
brun-philippe,Philippe Brun
ruffin-francois,François Ruffin
ruffin-francois,Ruffin
dupont-aignan-nicolas,Nicolas Dupont-Aignan
dupont-aignan-nicolas,Dupont-Aignan
philippot-florian,Florian Philippot
philippot-florian,Philippot
asselineau-francois,François Asselineau
asselineau-francois,Asselineau
batho-delphine,Delphine Batho
arthaud-nathalie,Nathalie Arthaud
kazib-anasse,Anasse Kazib
labib-selma,Selma Labib
branco-juan,Juan Branco
egger-clara,Clara Egger
massard-lydie,Lydie Massard
zemmour-eric,Éric Zemmour
zemmour-eric,Eric Zemmour
zemmour-eric,Zemmour
institut-montaigne,Institut Montaigne
fondapol,Fondapol
fondapol,Fondation pour l'innovation politique
terra-nova,Terra Nova
ofce,OFCE
institut-choiseul,Institut Choiseul
croissance-plus,Croissance Plus
medef,Medef
cgt,CGT
cfdt,CFDT
fo,Force ouvrière
fondation-ifrap,iFRAP
fondation-ifrap,Fondation iFRAP
