requete_id,acteur_id,theme_id,requete,url_rss,frequence,actif
le-pen-marine-fiscalite,le-pen-marine,fiscalite,"""Marine Le Pen"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR ""taxe Zucman"" OR ""plus-value"" OR ""assurance-vie"" OR PER OR ""revenus fonciers"" OR ""exit tax"")",https://news.google.com/rss/search?q=%22Marine%20Le%20Pen%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20%22taxe%20Zucman%22%20OR%20%22plus-value%22%20OR%20%22assurance-vie%22%20OR%20PER%20OR%20%22revenus%20fonciers%22%20OR%20%22exit%20tax%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
le-pen-marine-transmission,le-pen-marine,transmission,"""Marine Le Pen"" (succession OR héritage OR donation OR Dutreil OR ""droits de succession"" OR ""réserve héréditaire"")",https://news.google.com/rss/search?q=%22Marine%20Le%20Pen%22%20%28succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20%22droits%20de%20succession%22%20OR%20%22r%C3%A9serve%20h%C3%A9r%C3%A9ditaire%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
le-pen-marine-structuration,le-pen-marine,structuration,"""Marine Le Pen"" (holding OR SCI OR ""impôt sur les sociétés"" OR ""abus de droit"" OR ""régime matrimonial"")",https://news.google.com/rss/search?q=%22Marine%20Le%20Pen%22%20%28holding%20OR%20SCI%20OR%20%22imp%C3%B4t%20sur%20les%20soci%C3%A9t%C3%A9s%22%20OR%20%22abus%20de%20droit%22%20OR%20%22r%C3%A9gime%20matrimonial%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
le-pen-marine-protection,le-pen-marine,protection,"""Marine Le Pen"" (retraite OR dépendance OR prévoyance OR ""grand âge"" OR handicap OR réversion)",https://news.google.com/rss/search?q=%22Marine%20Le%20Pen%22%20%28retraite%20OR%20d%C3%A9pendance%20OR%20pr%C3%A9voyance%20OR%20%22grand%20%C3%A2ge%22%20OR%20handicap%20OR%20r%C3%A9version%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
philippe-edouard-fiscalite,philippe-edouard,fiscalite,"""Édouard Philippe"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR ""taxe Zucman"" OR ""plus-value"" OR ""assurance-vie"" OR PER OR ""revenus fonciers"" OR ""exit tax"")",https://news.google.com/rss/search?q=%22%C3%89douard%20Philippe%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20%22taxe%20Zucman%22%20OR%20%22plus-value%22%20OR%20%22assurance-vie%22%20OR%20PER%20OR%20%22revenus%20fonciers%22%20OR%20%22exit%20tax%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
philippe-edouard-transmission,philippe-edouard,transmission,"""Édouard Philippe"" (succession OR héritage OR donation OR Dutreil OR ""droits de succession"" OR ""réserve héréditaire"")",https://news.google.com/rss/search?q=%22%C3%89douard%20Philippe%22%20%28succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20%22droits%20de%20succession%22%20OR%20%22r%C3%A9serve%20h%C3%A9r%C3%A9ditaire%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
philippe-edouard-structuration,philippe-edouard,structuration,"""Édouard Philippe"" (holding OR SCI OR ""impôt sur les sociétés"" OR ""abus de droit"" OR ""régime matrimonial"")",https://news.google.com/rss/search?q=%22%C3%89douard%20Philippe%22%20%28holding%20OR%20SCI%20OR%20%22imp%C3%B4t%20sur%20les%20soci%C3%A9t%C3%A9s%22%20OR%20%22abus%20de%20droit%22%20OR%20%22r%C3%A9gime%20matrimonial%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
philippe-edouard-protection,philippe-edouard,protection,"""Édouard Philippe"" (retraite OR dépendance OR prévoyance OR ""grand âge"" OR handicap OR réversion)",https://news.google.com/rss/search?q=%22%C3%89douard%20Philippe%22%20%28retraite%20OR%20d%C3%A9pendance%20OR%20pr%C3%A9voyance%20OR%20%22grand%20%C3%A2ge%22%20OR%20handicap%20OR%20r%C3%A9version%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
attal-gabriel-fiscalite,attal-gabriel,fiscalite,"""Gabriel Attal"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR ""taxe Zucman"" OR ""plus-value"" OR ""assurance-vie"" OR PER OR ""revenus fonciers"" OR ""exit tax"")",https://news.google.com/rss/search?q=%22Gabriel%20Attal%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20%22taxe%20Zucman%22%20OR%20%22plus-value%22%20OR%20%22assurance-vie%22%20OR%20PER%20OR%20%22revenus%20fonciers%22%20OR%20%22exit%20tax%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
attal-gabriel-transmission,attal-gabriel,transmission,"""Gabriel Attal"" (succession OR héritage OR donation OR Dutreil OR ""droits de succession"" OR ""réserve héréditaire"")",https://news.google.com/rss/search?q=%22Gabriel%20Attal%22%20%28succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20%22droits%20de%20succession%22%20OR%20%22r%C3%A9serve%20h%C3%A9r%C3%A9ditaire%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
attal-gabriel-structuration,attal-gabriel,structuration,"""Gabriel Attal"" (holding OR SCI OR ""impôt sur les sociétés"" OR ""abus de droit"" OR ""régime matrimonial"")",https://news.google.com/rss/search?q=%22Gabriel%20Attal%22%20%28holding%20OR%20SCI%20OR%20%22imp%C3%B4t%20sur%20les%20soci%C3%A9t%C3%A9s%22%20OR%20%22abus%20de%20droit%22%20OR%20%22r%C3%A9gime%20matrimonial%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
attal-gabriel-protection,attal-gabriel,protection,"""Gabriel Attal"" (retraite OR dépendance OR prévoyance OR ""grand âge"" OR handicap OR réversion)",https://news.google.com/rss/search?q=%22Gabriel%20Attal%22%20%28retraite%20OR%20d%C3%A9pendance%20OR%20pr%C3%A9voyance%20OR%20%22grand%20%C3%A2ge%22%20OR%20handicap%20OR%20r%C3%A9version%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
retailleau-bruno-fiscalite,retailleau-bruno,fiscalite,"""Bruno Retailleau"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR ""taxe Zucman"" OR ""plus-value"" OR ""assurance-vie"" OR PER OR ""revenus fonciers"" OR ""exit tax"")",https://news.google.com/rss/search?q=%22Bruno%20Retailleau%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20%22taxe%20Zucman%22%20OR%20%22plus-value%22%20OR%20%22assurance-vie%22%20OR%20PER%20OR%20%22revenus%20fonciers%22%20OR%20%22exit%20tax%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
retailleau-bruno-transmission,retailleau-bruno,transmission,"""Bruno Retailleau"" (succession OR héritage OR donation OR Dutreil OR ""droits de succession"" OR ""réserve héréditaire"")",https://news.google.com/rss/search?q=%22Bruno%20Retailleau%22%20%28succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20%22droits%20de%20succession%22%20OR%20%22r%C3%A9serve%20h%C3%A9r%C3%A9ditaire%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
retailleau-bruno-structuration,retailleau-bruno,structuration,"""Bruno Retailleau"" (holding OR SCI OR ""impôt sur les sociétés"" OR ""abus de droit"" OR ""régime matrimonial"")",https://news.google.com/rss/search?q=%22Bruno%20Retailleau%22%20%28holding%20OR%20SCI%20OR%20%22imp%C3%B4t%20sur%20les%20soci%C3%A9t%C3%A9s%22%20OR%20%22abus%20de%20droit%22%20OR%20%22r%C3%A9gime%20matrimonial%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
retailleau-bruno-protection,retailleau-bruno,protection,"""Bruno Retailleau"" (retraite OR dépendance OR prévoyance OR ""grand âge"" OR handicap OR réversion)",https://news.google.com/rss/search?q=%22Bruno%20Retailleau%22%20%28retraite%20OR%20d%C3%A9pendance%20OR%20pr%C3%A9voyance%20OR%20%22grand%20%C3%A2ge%22%20OR%20handicap%20OR%20r%C3%A9version%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
melenchon-jean-luc-fiscalite,melenchon-jean-luc,fiscalite,"""Jean-Luc Mélenchon"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR ""taxe Zucman"" OR ""plus-value"" OR ""assurance-vie"" OR PER OR ""revenus fonciers"" OR ""exit tax"")",https://news.google.com/rss/search?q=%22Jean-Luc%20M%C3%A9lenchon%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20%22taxe%20Zucman%22%20OR%20%22plus-value%22%20OR%20%22assurance-vie%22%20OR%20PER%20OR%20%22revenus%20fonciers%22%20OR%20%22exit%20tax%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
melenchon-jean-luc-transmission,melenchon-jean-luc,transmission,"""Jean-Luc Mélenchon"" (succession OR héritage OR donation OR Dutreil OR ""droits de succession"" OR ""réserve héréditaire"")",https://news.google.com/rss/search?q=%22Jean-Luc%20M%C3%A9lenchon%22%20%28succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20%22droits%20de%20succession%22%20OR%20%22r%C3%A9serve%20h%C3%A9r%C3%A9ditaire%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
melenchon-jean-luc-structuration,melenchon-jean-luc,structuration,"""Jean-Luc Mélenchon"" (holding OR SCI OR ""impôt sur les sociétés"" OR ""abus de droit"" OR ""régime matrimonial"")",https://news.google.com/rss/search?q=%22Jean-Luc%20M%C3%A9lenchon%22%20%28holding%20OR%20SCI%20OR%20%22imp%C3%B4t%20sur%20les%20soci%C3%A9t%C3%A9s%22%20OR%20%22abus%20de%20droit%22%20OR%20%22r%C3%A9gime%20matrimonial%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
melenchon-jean-luc-protection,melenchon-jean-luc,protection,"""Jean-Luc Mélenchon"" (retraite OR dépendance OR prévoyance OR ""grand âge"" OR handicap OR réversion)",https://news.google.com/rss/search?q=%22Jean-Luc%20M%C3%A9lenchon%22%20%28retraite%20OR%20d%C3%A9pendance%20OR%20pr%C3%A9voyance%20OR%20%22grand%20%C3%A2ge%22%20OR%20handicap%20OR%20r%C3%A9version%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
glucksmann-raphael-fiscalite,glucksmann-raphael,fiscalite,"""Raphaël Glucksmann"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR ""taxe Zucman"" OR ""plus-value"" OR ""assurance-vie"" OR PER OR ""revenus fonciers"" OR ""exit tax"")",https://news.google.com/rss/search?q=%22Rapha%C3%ABl%20Glucksmann%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20%22taxe%20Zucman%22%20OR%20%22plus-value%22%20OR%20%22assurance-vie%22%20OR%20PER%20OR%20%22revenus%20fonciers%22%20OR%20%22exit%20tax%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
glucksmann-raphael-transmission,glucksmann-raphael,transmission,"""Raphaël Glucksmann"" (succession OR héritage OR donation OR Dutreil OR ""droits de succession"" OR ""réserve héréditaire"")",https://news.google.com/rss/search?q=%22Rapha%C3%ABl%20Glucksmann%22%20%28succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20%22droits%20de%20succession%22%20OR%20%22r%C3%A9serve%20h%C3%A9r%C3%A9ditaire%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
glucksmann-raphael-structuration,glucksmann-raphael,structuration,"""Raphaël Glucksmann"" (holding OR SCI OR ""impôt sur les sociétés"" OR ""abus de droit"" OR ""régime matrimonial"")",https://news.google.com/rss/search?q=%22Rapha%C3%ABl%20Glucksmann%22%20%28holding%20OR%20SCI%20OR%20%22imp%C3%B4t%20sur%20les%20soci%C3%A9t%C3%A9s%22%20OR%20%22abus%20de%20droit%22%20OR%20%22r%C3%A9gime%20matrimonial%22%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
glucksmann-raphael-protection,glucksmann-raphael,protection,"""Raphaël Glucksmann"" (retraite OR dépendance OR prévoyance OR ""grand âge"" OR handicap OR réversion)",https://news.google.com/rss/search?q=%22Rapha%C3%ABl%20Glucksmann%22%20%28retraite%20OR%20d%C3%A9pendance%20OR%20pr%C3%A9voyance%20OR%20%22grand%20%C3%A2ge%22%20OR%20handicap%20OR%20r%C3%A9version%29&hl=fr&gl=FR&ceid=FR:fr,quotidien,true
bertrand-xavier-tous,bertrand-xavier,tous,"""Xavier Bertrand"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR succession OR héritage OR donation OR Dutreil OR holding OR retraite OR dépendance OR fiscalité)",https://news.google.com/rss/search?q=%22Xavier%20Bertrand%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20holding%20OR%20retraite%20OR%20d%C3%A9pendance%20OR%20fiscalit%C3%A9%29&hl=fr&gl=FR&ceid=FR:fr,hebdo,true
lisnard-david-tous,lisnard-david,tous,"""David Lisnard"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR succession OR héritage OR donation OR Dutreil OR holding OR retraite OR dépendance OR fiscalité)",https://news.google.com/rss/search?q=%22David%20Lisnard%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20holding%20OR%20retraite%20OR%20d%C3%A9pendance%20OR%20fiscalit%C3%A9%29&hl=fr&gl=FR&ceid=FR:fr,hebdo,true
roussel-fabien-tous,roussel-fabien,tous,"""Fabien Roussel"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR succession OR héritage OR donation OR Dutreil OR holding OR retraite OR dépendance OR fiscalité)",https://news.google.com/rss/search?q=%22Fabien%20Roussel%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20holding%20OR%20retraite%20OR%20d%C3%A9pendance%20OR%20fiscalit%C3%A9%29&hl=fr&gl=FR&ceid=FR:fr,hebdo,true
tondelier-marine-tous,tondelier-marine,tous,"""Marine Tondelier"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR succession OR héritage OR donation OR Dutreil OR holding OR retraite OR dépendance OR fiscalité)",https://news.google.com/rss/search?q=%22Marine%20Tondelier%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20holding%20OR%20retraite%20OR%20d%C3%A9pendance%20OR%20fiscalit%C3%A9%29&hl=fr&gl=FR&ceid=FR:fr,hebdo,true
faure-olivier-tous,faure-olivier,tous,"""Olivier Faure"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR succession OR héritage OR donation OR Dutreil OR holding OR retraite OR dépendance OR fiscalité)",https://news.google.com/rss/search?q=%22Olivier%20Faure%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20holding%20OR%20retraite%20OR%20d%C3%A9pendance%20OR%20fiscalit%C3%A9%29&hl=fr&gl=FR&ceid=FR:fr,hebdo,true
guedj-jerome-tous,guedj-jerome,tous,"""Jérôme Guedj"" (IFI OR ""impôt sur la fortune"" OR ""flat tax"" OR succession OR héritage OR donation OR Dutreil OR holding OR retraite OR dépendance OR fiscalité)",https://news.google.com/rss/search?q=%22J%C3%A9r%C3%B4me%20Guedj%22%20%28IFI%20OR%20%22imp%C3%B4t%20sur%20la%20fortune%22%20OR%20%22flat%20tax%22%20OR%20succession%20OR%20h%C3%A9ritage%20OR%20donation%20OR%20Dutreil%20OR%20holding%20OR%20retraite%20OR%20d%C3%A9pendance%20OR%20fiscalit%C3%A9%29&hl=fr&gl=FR&ceid=FR:fr,hebdo,true
