source_id,acteur_id,type_source,url,mode_collecte,frequence,langue,fiabilite,robots_ok,actif,notes,derniere_collecte
montaigne-rss,institut-montaigne,rss,https://www.institutmontaigne.org/rss.xml,auto,quotidien,fr,primaire,na,false,"URL RSS déduite, à confirmer avant activation",
montaigne-publications,institut-montaigne,page_web,https://www.institutmontaigne.org/publications,auto,hebdo,fr,primaire,na,true,Surveillance de la page publications ; URL à confirmer,
fondapol-rss,fondapol,rss,https://www.fondapol.org/feed/,auto,quotidien,fr,primaire,na,false,"URL RSS déduite (WordPress), à confirmer",
tnova-rss,terra-nova,rss,https://tnova.fr/feed/,auto,quotidien,fr,primaire,na,false,"URL RSS déduite (WordPress), à confirmer",
ofce-site-rss,ofce,rss,https://www.ofce.fr/feed/,auto,hebdo,fr,primaire,na,false,"URL RSS déduite, à confirmer",
ofce-blog,ofce,rss,https://www.ofce.sciences-po.fr/blog/feed/,auto,hebdo,fr,primaire,na,false,Blog OFCE ; URL à confirmer,
choiseul-rss,institut-choiseul,rss,https://www.choiseul.info/feed/,auto,hebdo,fr,primaire,na,false,"URL RSS déduite, à confirmer",
croissanceplus-rss,croissance-plus,rss,https://croissanceplus.com/feed/,auto,hebdo,fr,primaire,na,false,"URL RSS déduite, à confirmer",
croissanceplus-actualites,croissance-plus,page_web,https://croissanceplus.com/,auto,hebdo,fr,primaire,na,true,Surveillance page d'accueil / actualités,
medef-presse,medef,page_web,,auto,hebdo,fr,primaire,na,false,Page communiqués de presse à renseigner,
cgt-presse,cgt,page_web,,auto,hebdo,fr,primaire,na,false,Page communiqués de presse à renseigner,
cfdt-presse,cfdt,page_web,,auto,hebdo,fr,primaire,na,false,Page communiqués de presse à renseigner,
fo-presse,fo,page_web,,auto,hebdo,fr,primaire,na,false,Page communiqués de presse à renseigner,
an-cfin,assemblee-nationale,parlement,,auto,hebdo,fr,primaire,na,false,Flux commission des finances / open data à renseigner,
senat-cfin,senat,parlement,,auto,hebdo,fr,primaire,na,false,Flux commission des finances à renseigner,
le-pen-marine-site,le-pen-marine,page_web,,auto,quotidien,fr,primaire,na,false,Site de campagne à renseigner ; surveillance changement de page,
le-pen-marine-programme,le-pen-marine,pdf,,manuel,mensuel,fr,primaire,na,false,URL du programme à renseigner dès publication,
le-pen-marine-youtube,le-pen-marine,youtube,,manuel,hebdo,fr,primaire,na,false,Chaîne ou playlists d'interviews à renseigner ; transcription,
philippe-edouard-site,philippe-edouard,page_web,,auto,quotidien,fr,primaire,na,false,Site de campagne à renseigner ; surveillance changement de page,
philippe-edouard-programme,philippe-edouard,pdf,,manuel,mensuel,fr,primaire,na,false,URL du programme à renseigner dès publication,
philippe-edouard-youtube,philippe-edouard,youtube,,manuel,hebdo,fr,primaire,na,false,Chaîne ou playlists d'interviews à renseigner ; transcription,
attal-gabriel-site,attal-gabriel,page_web,,auto,quotidien,fr,primaire,na,false,Site de campagne à renseigner ; surveillance changement de page,
attal-gabriel-programme,attal-gabriel,pdf,,manuel,mensuel,fr,primaire,na,false,URL du programme à renseigner dès publication,
attal-gabriel-youtube,attal-gabriel,youtube,,manuel,hebdo,fr,primaire,na,false,Chaîne ou playlists d'interviews à renseigner ; transcription,
retailleau-bruno-site,retailleau-bruno,page_web,,auto,quotidien,fr,primaire,na,false,Site de campagne à renseigner ; surveillance changement de page,
retailleau-bruno-programme,retailleau-bruno,pdf,,manuel,mensuel,fr,primaire,na,false,URL du programme à renseigner dès publication,
retailleau-bruno-youtube,retailleau-bruno,youtube,,manuel,hebdo,fr,primaire,na,false,Chaîne ou playlists d'interviews à renseigner ; transcription,
melenchon-jean-luc-site,melenchon-jean-luc,page_web,,auto,quotidien,fr,primaire,na,false,Site de campagne à renseigner ; surveillance changement de page,
